"Name","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Keston Hiura","16","67","5","14","17","4","11.9 %","29.9 %",".475",".647",".458",".522",".932",".577","263","0.2","14.7","-1.4","1.5","20003"
"Christian Yelich","14","64","5","12","12","4","10.9 %","21.9 %",".333",".447",".386",".453",".719",".479","199","1.2","9.5","-0.4","1.1","11477"
"Yasmani Grandal","15","54","0","4","6","0","16.7 %","20.4 %",".114",".364",".273",".407",".386",".347","112","-0.5","0.4","1.8","0.4","11368"
"Ryan Braun","14","50","3","10","8","2","8.0 %","22.0 %",".333",".276",".262",".347",".595",".375","130","0.2","2.2","-0.7","0.3","3410"
"Lorenzo Cain","16","74","2","7","5","2","9.5 %","17.6 %",".149",".308",".269",".338",".418",".325","97","-0.4","-0.7","1.1","0.3","9077"
"Jesus Aguilar","15","40","2","8","5","0","5.0 %","20.0 %",".250",".296",".278",".325",".528",".349","114","-0.2","0.6","-0.5","0.1","11342"
"Mike Moustakas","15","63","1","9","7","0","9.5 %","12.7 %",".161",".277",".250",".333",".411",".308","86","-0.3","-1.4","0.2","0.1","4892"
"Tyler Saladino","15","40","2","5","8","1","10.0 %","25.0 %",".171",".174",".171",".275",".343",".271","62","0.3","-1.6","1.0","0.1","10807"
"Eric Thames","16","47","1","8","3","0","10.6 %","25.5 %",".175",".259",".200",".319",".375",".296","79","0.3","-1.0","-0.8","0.0","3711"
"Orlando Arcia","16","49","0","5","2","1","14.3 %","24.5 %",".000",".138",".100",".229",".100",".162","-9","-0.1","-7.1","0.5","-0.5","13185"
