"Name","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Austin Meadows","16","69","8","19","19","3","13.0 %","15.9 %",".508",".400",".407",".493",".915",".555","261","0.6","14.8","-1.2","1.6","15672"
"Tommy Pham","14","63","0","11","8","7","7.9 %","9.5 %",".105",".392",".351",".413",".456",".375","139","1.1","4.3","-0.7","0.6","2967"
"Joey Wendle","15","56","0","12","4","4","5.4 %","12.5 %",".077",".356",".308",".357",".385",".322","104","0.6","0.9","1.0","0.4","13853"
"Ji-Man Choi","15","54","3","5","8","0","24.1 %","24.1 %",".308",".200",".205",".389",".513",".373","138","0.2","2.8","-1.2","0.3","5452"
"Willy Adames","16","55","1","9","4","0","12.7 %","14.5 %",".149",".256",".234",".327",".383",".306","93","-0.2","-0.7","0.8","0.2","15986"
"Avisail Garcia","12","51","1","5","9","0","3.9 %","21.6 %",".188",".378",".313",".333",".500",".344","118","-0.8","0.4","-0.4","0.2","5760"
"Travis d'Arnaud","12","47","1","3","14","0","6.4 %","23.4 %",".146",".290",".244",".298",".390",".289","81","0.0","-1.1","0.4","0.1","7739"
"Matt Duffy","11","32","0","1","2","0","12.5 %","9.4 %",".038",".333",".308",".406",".346",".337","113","-0.7","-0.2","-0.8","0.0","13836"
"Kevin Kiermaier","11","34","0","6","0","0","5.9 %","23.5 %",".033",".136",".100",".206",".133",".170","1","0.1","-4.2","0.6","-0.2","11038"
"Nathaniel Lowe","13","34","1","3","3","0","2.9 %","44.1 %",".094",".294",".188",".206",".281",".205","24","0.3","-3.0","-0.8","-0.3","19566"
