"Name","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Starling Marte","17","78","3","12","9","4","5.1 %","12.8 %",".200",".421",".386",".449",".586",".437","174","0.9","8.5","-0.8","1.0","9241"
"Bryan Reynolds","18","70","2","14","11","0","5.7 %","22.9 %",".185",".489",".385",".429",".569",".420","163","0.1","5.9","-1.0","0.7","19326"
"Colin Moran","18","67","5","13","14","0","6.0 %","25.4 %",".302",".390",".333",".373",".635",".410","156","-0.4","4.6","-1.0","0.6","16909"
"Josh Bell","17","77","3","14","12","0","7.8 %","19.5 %",".286",".358",".314",".364",".600",".394","145","-0.6","4.0","-2.3","0.4","13145"
"Adam Frazier","16","67","1","8","4","0","6.0 %","9.0 %",".167",".283",".267",".333",".433",".315","94","0.2","-0.3","0.5","0.2","15223"
"Cole Tucker","12","34","0","3","4","0","5.9 %","20.6 %",".156",".360",".281",".324",".438",".322","98","0.2","0.1","0.5","0.2","17326"
"Melky Cabrera","13","41","1","8","8","0","4.9 %","19.5 %",".132",".379",".316",".366",".447",".349","116","-0.2","0.6","-1.1","0.1","4022"
"Kevin Newman","18","72","2","7","9","0","6.9 %","9.7 %",".121",".276",".273",".319",".394",".299","84","0.0","-1.5","0.1","0.1","17696"
"Elias Diaz","16","60","1","7","13","0","5.0 %","15.0 %",".125",".340",".304",".333",".429",".322","98","-0.2","-0.3","-1.5","0.0","11680"
"Gregory Polanco","14","56","2","6","6","2","7.1 %","44.6 %",".157",".333",".196",".255",".353",".252","53","0.4","-3.1","-1.6","-0.3","12907"
