"Name","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Trevor Story","16","74","3","14","10","6","5.4 %","25.7 %",".239",".457",".358",".405",".597",".415","143","1.7","5.9","1.7","1.0","12564"
"Nolan Arenado","15","70","6","14","14","1","7.1 %","8.6 %",".344",".226",".281",".329",".625",".380","121","0.1","2.0","1.3","0.5","9777"
"Raimel Tapia","15","42","3","3","10","0","7.1 %","26.2 %",".436",".360",".308",".357",".744",".439","159","-0.9","2.3","-0.7","0.3","14350"
"Ryan McMahon","9","39","2","6","9","1","10.3 %","25.6 %",".171",".348",".286",".359",".457",".349","100","0.2","0.2","-0.2","0.1","15112"
"Tony Wolters","11","40","0","3","4","0","17.5 %","15.0 %",".094",".370",".313",".425",".406",".338","93","-0.1","-0.5","0.3","0.1","11470"
"David Dahl","10","42","0","7","1","0","4.8 %","31.0 %",".205",".500",".333",".366",".538",".376","118","-0.7","0.3","-0.5","0.1","13744"
"Charlie Blackmon","16","79","3","10","11","1","5.1 %","19.0 %",".230",".339",".297",".342",".527",".361","108","-0.6","0.3","-2.1","0.1","7859"
"Mark Reynolds","16","42","2","4","5","1","16.7 %","38.1 %",".182",".250",".182",".333",".364",".307","73","-0.1","-1.6","-0.3","-0.1","7619"
"Ian Desmond","14","49","2","8","7","0","4.1 %","18.4 %",".239",".250",".239",".265",".478",".302","70","-0.1","-2.0","-0.8","-0.1","6885"
"Garrett Hampson","11","48","1","6","3","1","4.2 %","25.0 %",".156",".281",".222",".255",".378",".266","46","0.1","-3.3","-0.1","-0.2","19262"
