"Name","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Keston Hiura","21","88","5","15","17","4","11.4 %","29.5 %",".377",".522",".377",".455",".753",".486","203","0.2","12.2","-1.8","1.3","20003"
"Christian Yelich","19","87","5","13","14","4","9.2 %","21.8 %",".282",".426",".359",".425",".641",".441","173","0.9","9.3","-0.6","1.1","11477"
"Yasmani Grandal","20","75","1","7","8","1","16.0 %","18.7 %",".129",".319",".258",".387",".387",".338","106","-0.5","0.2","2.4","0.5","11368"
"Ryan Braun","19","64","3","10","10","3","6.3 %","23.4 %",".286",".308",".268",".333",".554",".357","119","0.3","1.9","-0.9","0.3","3410"
"Lorenzo Cain","21","92","3","9","7","2","8.7 %","14.1 %",".157",".265",".253",".315",".410",".309","87","-0.4","-2.0","1.3","0.2","9077"
"Jesus Aguilar","17","44","2","9","5","0","4.5 %","18.2 %",".250",".323",".300",".341",".550",".365","124","-0.2","1.2","-0.6","0.2","11342"
"Mike Moustakas","19","80","2","10","9","0","10.0 %","12.5 %",".183",".271",".254",".338",".437",".321","95","-0.4","-0.9","0.3","0.2","4892"
"Tyler Saladino","18","46","2","5","8","1","8.7 %","30.4 %",".146",".160",".146",".239",".293",".236","39","0.4","-3.3","1.2","-0.1","10807"
"Eric Thames","20","63","2","10","4","0","9.5 %","25.4 %",".182",".216",".182",".286",".364",".276","66","0.4","-2.5","-1.0","-0.1","3711"
"Orlando Arcia","21","68","0","8","2","2","11.8 %","22.1 %",".000",".250",".190",".284",".190",".218","28","0.1","-6.3","0.7","-0.3","13185"
