Name,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Christian Yelich,18,84,8,17,17,7,8.30%,17.90%,0.453,0.491,0.453,0.5,0.907,0.561,252,1.9,18.8,-0.6,2,11477
Mike Moustakas,17,72,7,12,10,0,15.30%,11.10%,0.379,0.256,0.31,0.444,0.69,0.462,187,-0.4,7.9,0.2,1,4892
Yasmani Grandal,17,72,4,8,13,0,13.90%,13.90%,0.281,0.222,0.246,0.375,0.526,0.374,130,-0.6,2.2,2.3,0.7,11368
Eric Thames,15,52,4,7,9,1,13.50%,26.90%,0.341,0.385,0.318,0.423,0.659,0.443,175,0.5,5.7,-0.9,0.6,3711
Lorenzo Cain,18,77,0,11,3,5,9.10%,22.10%,0.014,0.327,0.246,0.325,0.261,0.269,61,1,-3,1.1,0.1,9077
Travis Shaw,13,45,1,5,3,0,15.60%,40.00%,0.105,0.316,0.184,0.311,0.289,0.274,64,-0.1,-2.2,0.4,0,11982
Hernan Perez,15,44,0,6,1,1,6.80%,27.30%,0.077,0.286,0.205,0.256,0.282,0.234,38,-0.2,-3.8,0.7,-0.2,5751
Orlando Arcia,18,72,3,8,9,1,5.60%,22.20%,0.179,0.184,0.179,0.222,0.358,0.242,44,0.4,-5,0.7,-0.2,13185
Ryan Braun,17,71,3,5,10,0,4.20%,22.50%,0.147,0.265,0.235,0.268,0.382,0.275,65,-0.3,-3.6,-1,-0.2,3410
Ben Gamel,12,37,0,3,3,0,8.10%,24.30%,0.029,0.24,0.176,0.243,0.206,0.206,20,0.3,-3.6,0.1,-0.2,12160
